YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,TE8,6320,4679
2024-04,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,346,1024
2024-04,WEEKDAY,23,TRAIN,CC17/TE9,776,2599
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1755,3946
2024-04,WEEKDAY,10,TRAIN,DT18,5269,27546
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,EW23,19247,24872
2024-04,WEEKDAY,19,TRAIN,EW23,66756,92119
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,EW15,12277,9838
2024-04,WEEKDAY,14,TRAIN,EW15,31400,28966
2024-04,WEEKDAY,23,TRAIN,EW12/DT14,23895,11842
2024-04,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,10794,5139
2024-04,WEEKDAY,10,TRAIN,NS4/BP1,28492,21640
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,16946,13074
2024-04,WEEKDAY,22,TRAIN,NS5,8713,30689
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,NS5,4666,12979
2024-04,WEEKDAY,22,TRAIN,SE3,481,4237
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,SE3,320,1850
2024-04,WEEKDAY,7,TRAIN,NS15,39822,79608
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,NS15,5469,5096
2024-04,WEEKDAY,12,TRAIN,EW30,2335,1103
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1619,608
2024-04,WEEKDAY,12,TRAIN,NE11,11417,12018
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,NE11,7854,6965
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,PE5,3226,1021
2024-04,WEEKDAY,8,TRAIN,PE5,18282,3275
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1550,1574
2024-04,WEEKDAY,14,TRAIN,TE19,5615,6372
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,TE19,1443,1144
2024-04,WEEKDAY,19,TRAIN,TE19,24699,3765
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2695,7252
